timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
5135,0,1318,14.57
5135,0,2000,14.57
5182,0,2220,14.58
5182,0,1312,14.58
5183,0,1931,14.58
5183,0,2305,14.58
5228,0,1241,14.55
5229,0,1584,14.34
5229,0,1699,13.8
5229,0,418,12.99
5275,0,850,12.23
5275,0,2373,12.01
5276,0,890,12.34
5276,0,1084,13.12
5276,0,1606,14.08
5323,0,1059,15.0
5323,0,1421,15.44
5324,0,2314,15.41
5324,0,1408,15.31
5370,0,816,15.23
5370,0,4095,15.12
5370,0,2957,15.04
5370,0,1987,14.99
5416,0,2705,14.98
5416,0,2475,14.98
5417,0,2446,14.99
5417,0,3344,15.09
5463,0,2188,15.18
5463,0,2512,15.13
5464,0,4080,15.03
5464,0,2736,14.87
5509,0,1754,14.99
5509,0,2191,14.99
5509,0,1565,14.93
5510,0,1299,14.91
5555,0,2191,14.91
5555,0,1449,14.88
5556,0,753,14.86
5556,0,1664,14.86
5558,0,1649,14.86
5602,0,1168,14.84
5602,0,2142,14.84
5603,0,1968,14.83
5603,0,1290,14.81
5650,0,2147,14.8
5650,0,2027,14.8
5650,0,1291,14.79
5651,0,2167,14.72
5696,0,2019,14.71
5696,0,1157,14.67
5696,0,1999,14.6
5697,0,2038,14.55
5742,0,1152,14.52
5743,0,1885,14.51
5743,0,2115,14.47
5743,0,1191,14.43
5789,0,1851,14.41
5789,0,2077,14.38
5789,0,1130,14.33
5790,0,1763,14.28
5836,0,2099,14.26
5836,0,1159,14.25
5836,0,1680,14.22
5837,0,2221,14.17
5838,0,1233,14.12
5882,0,1664,14.09
5882,0,2302,14.07
5883,0,1267,14.01
5883,0,1742,13.93
5928,0,2386,13.85
5929,0,1405,13.76
5929,0,1702,13.72
5929,0,2559,13.66
5961,0,1533,13.61
5961,0,1728,13.55
5961,0,2758,13.53
6006,0,1727,13.51
6006,0,1518,13.5
6006,0,2401,13.48
6006,0,1498,13.44
6053,0,1328,13.43
6053,0,2241,13.42
6054,0,1469,13.4
6054,0,1261,13.4
6086,0,2212,13.4
6086,0,1584,13.47
6087,0,1145,13.51
6134,0,2257,13.51
6134,0,1723,13.5
6134,0,1520,13.51
6134,0,2489,13.56
6180,0,4095,13.61
6180,0,2207,13.66
6180,0,2581,13.73
6181,0,2123,13.8
6227,0,1482,13.87
6227,0,2303,13.96
6227,0,2039,14.04
6228,0,1475,14.13
6273,0,2402,14.27
6273,0,2135,14.39
6273,0,1344,14.48
6274,0,2420,14.53
6276,0,2292,14.57
6319,0,1333,14.62
6319,0,2273,14.71
6319,0,2347,14.8
6320,0,1494,14.89
6366,0,2279,15.0
6367,0,2244,15.07
6367,0,1200,15.17
6367,0,2123,15.29
6412,0,2342,15.4
6412,0,1264,15.5
6412,0,1946,15.63
6413,0,2256,15.8
6458,0,1381,15.97
6458,0,2445,16.16
6459,0,3173,16.36
6459,0,1055,16.58
6504,0,1296,16.82
6505,0,2033,17.05
6505,0,878,17.29
6505,0,1424,17.52
6552,0,2000,17.77
6552,0,1084,18.02
6552,0,1569,18.3
6553,0,2394,18.61
6599,0,1328,18.91
6599,0,1570,19.18
6599,0,2401,19.47
6600,0,1419,19.75
6600,0,1467,20.06
6645,0,2357,20.42
6645,0,1422,20.76
6645,0,1251,21.11
6645,0,2361,21.49
6692,0,1406,21.88
6693,0,1357,22.3
6693,0,2314,22.74
6693,0,1517,23.16
6739,0,1162,23.6
6739,0,2266,24.08
6739,0,1728,24.56
6740,0,1195,24.99
6786,0,2217,25.42
6787,0,1763,25.88
6787,0,1219,26.39
6787,0,2340,26.9
6833,0,1843,27.44
6833,0,1122,27.97
6834,0,2221,28.51
6834,0,1990,29.05
6836,0,1095,29.7
6879,0,2179,30.39
6879,0,2074,31.03
6880,0,1152,31.63
6880,0,2114,32.22
6926,0,2141,32.87
6926,0,1191,33.58
6927,0,2103,34.33
6927,0,2194,35.12
6973,0,1168,35.86
6974,0,1963,36.58
6974,0,2333,37.32
6974,0,1213,38.2
7020,0,1892,39.18
7020,0,2343,40.2
7020,0,1319,41.28
7021,0,1883,42.37
7066,0,2375,43.52
7067,0,1457,44.68
7067,0,1631,45.82
7067,0,2367,47.06
7113,0,1200,48.36
7113,0,1572,49.73
7113,0,1856,51.2
7114,0,834,52.77
7160,0,1518,54.4
7160,0,2413,56.17
7161,0,1223,57.87
7161,0,1264,59.69
7162,0,2320,61.5
7207,0,1294,63.29
7207,0,1216,65.23
7207,0,2210,67.25
7208,0,1195,69.26
7254,0,1299,71.15
7254,0,2433,72.96
7255,0,1664,74.79
7255,0,1293,76.73
7301,0,2521,78.81
7301,0,1573,80.88
7301,0,1196,83.14
7302,0,2239,85.29
7335,0,1857,87.37
7335,0,1137,89.39
7336,0,2342,91.35
7379,0,2022,93.34
7379,0,1110,95.32
7380,0,2171,97.3
7380,0,1952,99.21
7425,0,1264,101.05
7425,0,2363,102.92
7426,0,2039,104.74
7426,0,1269,106.49
7472,0,2032,108.22
7472,0,2002,109.98
7473,0,1178,111.67
7473,0,2019,113.33
7520,0,2119,114.99
7520,0,1216,116.58
7520,0,2112,118.1
7521,0,2386,119.62
7521,0,1269,121.1
7566,0,1934,122.54
7567,0,2286,123.99
7567,0,1238,125.42
7568,0,1842,126.78
7612,0,2382,128.11
7612,0,1414,129.39
7613,0,1887,130.64
7613,0,2481,131.86
7658,0,1438,133.05
7658,0,1840,134.2
7659,15,2501,135.31
7659,0,1341,136.37
7704,0,1535,137.38
7704,0,2339,138.32
7705,0,1409,139.23
7705,0,1525,140.09
7736,0,2320,140.88
7736,0,1476,141.63
7736,0,1532,142.3
7782,0,2373,142.9
7784,0,1523,143.41
7784,0,1433,143.92
7784,0,2343,144.35
7829,0,1535,144.67
7830,0,1422,144.98
7830,0,2447,145.14
7831,0,1831,145.23
7891,0,1574,145.14
7891,0,2530,144.91
7892,0,2157,144.54
7892,0,1638,144.22
7892,0,2366,143.63
7893,0,1963,142.96
7937,0,1426,142.0
7937,0,2719,140.89
7937,0,2613,139.72
7938,0,1719,138.49
7987,0,2501,136.96
7988,0,1978,135.32
7989,0,1092,133.59
7990,0,1906,131.88
8046,0,1836,129.96
8046,0,1058,127.9
8047,0,1956,125.64
8047,0,2158,123.24
8047,0,1011,120.74
8048,0,1679,118.29
8092,0,1205,115.75
8092,0,2400,113.17
8093,0,2931,110.56
8094,0,2221,107.98
8139,0,1243,105.36
8139,0,1872,102.74
8139,0,2318,100.13
8140,0,1194,97.54
8185,0,1570,95.01
8186,0,2160,92.51
8186,0,1228,90.04
8186,0,1594,87.62
8233,0,2258,85.24
8233,0,1286,82.9
8233,0,1482,80.61
8233,0,2158,78.43
8280,0,1255,76.28
8280,0,1360,74.16
8280,0,2229,72.12
8280,0,1383,70.16
8326,0,1376,68.24
8327,0,2269,66.37
8327,0,1486,64.53
8327,0,1358,62.74
8329,0,2298,61.01
8373,0,1555,59.36
8374,0,1464,57.75
8374,0,2442,56.22
8374,0,1579,54.73
8420,0,1273,53.27
8420,0,2354,51.86
8420,0,1719,50.47
8421,0,1231,49.13
8467,0,2286,47.84
8467,0,1785,46.61
8468,0,1271,45.42
8468,0,2322,44.26
8514,0,1822,43.13
8514,0,1203,42.04
8514,0,2460,40.98
8514,0,2119,39.96
8561,0,560,38.98
8561,0,2013,38.01
8561,0,2306,37.11
8562,0,1716,36.21
8607,0,2533,35.34
8607,0,1914,34.51
8608,0,1058,33.71
8608,0,2210,32.95
8611,0,2005,32.22
8655,0,955,31.53
8656,0,2194,30.87
8656,0,2420,30.23
8656,0,1168,29.62
8706,0,2297,29.02
8707,0,2479,28.45
8709,0,1210,27.91
8710,0,2136,27.38
8711,0,2559,26.88
8766,0,1280,26.4
8766,0,2032,25.94
8766,0,2517,25.5
8768,0,1270,25.09
8768,0,2032,24.7
8812,0,2640,24.33
8812,0,1285,23.97
8813,0,1303,23.63
8813,0,2309,23.31
8858,0,1587,23.0
8858,0,1855,22.71
8858,0,2636,22.44
8859,0,1296,22.19
8905,0,1659,21.95
8905,0,2641,21.73
8906,0,1600,21.54
8906,0,1563,21.36
8952,0,2356,21.2
8952,0,1479,21.05
8953,0,1414,20.93
8953,0,2421,20.82
8998,0,1509,20.71
9000,0,1377,20.61
9000,0,2607,20.54
9000,0,1867,20.51
9044,0,1078,20.47
9044,0,2204,20.43
9044,0,1500,20.45
9045,0,1072,20.53
9091,0,2241,20.6
9092,0,1886,20.68
9092,0,1296,20.77
9092,0,2356,20.9
9092,0,1903,21.05
9138,0,1179,21.21
9138,0,2066,21.39
9138,0,1938,21.58
9139,0,1104,21.82
9185,0,1998,22.08
9185,0,1901,22.35
9185,0,1100,22.66
